1;"RStudio Team";"pins: Pin, Discover and Share Resources";"
    
    
    
    
        
          
    
    
    Today we are excited to announce the pins package is available on CRAN! pins allows you to pin, discover and share remote resources, locally or in remote storage.
If you find yourself using download.file() or asking others to download files before running your R code, use pin() to achieve fast, simple and reliable reproducible research over remote resources.
Pins You can use the pins package to:
 Pin remote resources locally to work offline and cache results with ease, pin() stores resources in boards which you can then retrieve with pin_get().
    Read more →
  "
1;"Hadley Wickham";"Deadline extended for rstudio::conf(2020) abstract submissions";"
    
    
    
    
    
      
    
    rstudio::conf, the conference on all things R and RStudio, will take place January 29 and 30, 2020 in San Francisco, California, preceded by Training Days on January 27 and 28.
We’ve received requests from a number of you for permission to submit talk/e-poster abstracts after the deadline (today, September 6). In response, we’re extending the deadline by a week for everyone; the new submission deadline is September 13, a week from today, at 11:59PM PDT.
    Read more →
  "
1;"Jen Hecht";"rstudio::conf(2020) Diversity and international scholarships";"
    
    
    
    
    
      
    
    rstudio::conf(2020L) continues our tradition of diversity scholarships, and this year we’re increasing the program size to 44 recipients. As a result of thinking about our goals, this year we have two components to the program:
 38 domestic diversity scholarships available to anyone living in the US or Canada who is a member of a group that is under-represented at rstudio::conf. At present, these groups would include women/minority genders, people of color, LGBTQ, elders/older adults, and those with disabilities.
    Read more →
  "
1;"Hadley Wickham";"rstudio::conf(2020) call for submissions";"
    
    
    
    
    
      
    
    rstudio::conf, the conference on all things R and RStudio, will take place January 29 and 30, 2020 in San Francisco, Califorrnia, preceded by Training Days on January 27 and 28.
The rstudio::conf program includes invited speakers and RStudio employees, but we also want to hear from you, the R community! We are particularly interested in submissions that have one or more of these qualities:
 Showcase the use of R to solve real problems.
    Read more →
  "
1;"Curtis Kephart";"The Shiny Developer Series";"
    
    
    
    
    
      
        
          
      
    
    Shiny is one of the best ways to build interactive documents, dashboards, and data science applications. But advancing your skills with Shiny does not come without challenges.
Shiny developers often have a stronger background in applied statistics than in areas useful for optimizing an application, like programming, web development, and user-interface design. Though there are many packages and tools that make developing advanced Shiny apps easier, new developers may not know these tools exist or how to find them.
    Read more →
  "
1;"Greg Wilson";"RStudio Trainer Directory Launches";"
    
    
    
    
    
      
    
    Several dozen people have taken part in RStudio’s instructor training and certification program since it was announced earlier this year. Since our last update, many of them have completed certification, so we are pleased to announce a preview of our trainers’ directory. Each of the people listed there has completed an exam on modern evidence-based teaching practices, as well as technical exams on the Tidyverse or Shiny, and they would welcome inquiries from anyone who is looking for high-quality training on these topics.
    Read more →
  "
1;"Hadley Wickham";"rstudio::conf(2020) is open for registration!";"
    
    
    
    
        
          
    
    
    rstudio::conf, the conference for all things R and RStudio, will take place January 29 and 30, 2020 in San Francisco, California. It will be preceded by Training Days on January 27 and 28. Early Bird registration is now open!

Conference: Wednesday-Thursday, Jan 29-30 Join me, your host and Chief Scientist of RStudio, for our keynote speakers:
 Hilary Parker (Stitch Fix) and Roger Peng (Johns Hopkins)
 Martin Wattenberg and Fernanda Viegas (Research Scientists, Google).
    Read more →
  "
1;"Kristopher Overholt";"RStudio Connect 1.7.6 - Publish Git-backed Content";"
    
    
    
    
    
      
        
          
      
    
    RStudio Connect 1.7.6 has been released and is now available for download. This release includes a new publishing method for Git-backed content, the ability for publishers to manage vanity URLs for applications, full support for all SAML authentication providers, and other improvements and bug fixes.
  Updates New publishing method for Git-backed content This release adds the ability for data scientists to deploy content from Git repositories for individual applications within RStudio Connect.
    Read more →
  "
1;"Sean Lopp";"RStudio Connect 1.7.4.2 - Important Security Patch";"
    
    
    
    
    
      
    
    This RStudio Connect patch release addresses an urgent security update and an important bug fix.
 Security Update: Password Authentication
A vulnerability has been identified for customers using RStudio Connect’s built-in password authentication. Due to the risks involved, password authentication will now require the configuration setting Server.Address for operations that will send emails. If this setting is not configured an error will occur for these operations. More detailed information about the vulnerability will be released in a future post.
    Read more →
  "
1;"Becky Bajan ";"Work Week at a Glance";"
    
    
    
    
    
      
        
          
      
    
    Last month our team assembled from 26 states and seven countries in Columbus, OH for our company Work Week. Though plain in name, this week is anything but. It is filled with stories, homemade goodies, big laughs, new experiences and lots of in-depth conversations. The layout varies a bit year to year but the same is true - each and every time we connect, communicate, and get things done!
Some highlights this year included, hex cookies made by Sooner Sugar, jam sessions in the lobby, hearing from J.
    Read more →
  "
2;"Samantha Toet";"[R]eady for Production: a Joint Event with RStudio and EODA";"
    
    
    
    
    
      
        
          
      
    
    We’re excited to team up with EODA, an RStudio Full Service Certified Partner, to host a free data science in production event in Frankfurt, Germany, on June 13. This one-day event will be geared for data science and IT teams that want to learn how to integrate their analysis solutions with the optimal IT infrastructure.
This is a great chance to work in smaller groups with experts from EODA and RStudio on best-practice approaches to productive data-science architectures, and to see real-world solutions to deployment problems.
    Read more →
  "
2;"Greg Wilson";"RStudio Instructor Training Updates";"
    
    
    
    
    
      
    
    There has been a lot of interest in RStudio’s instructor training and certification program since it was announced in February. People are now going through the training course and the subsequent exams, so we’d like to share a bit more information about them.
What’s the big picture? In order to be certified, candidates must do a one-day training course on modern evidence-based teaching techniques, write a 90-minute exam on that material, and complete a technical exam on each of the topics they are certifying for.
    Read more →
  "
2;"Sean Lopp";"Introducing SAML in RStudio Connect";"
    
    
    
    
        
          
    
    
    RStudio Connect 1.7.4 builds off of the prior release with significant improvements for RStudio Connect administrators. SAML support is available for production, a new admin view of scheduled reports helps identify potential conflicts, additional server APIs support deployment workflows, and our email configuration has been completely re-vamped.
  View Scheduled Content
  Scheduled Content Calendar This release includes a new calendar view, pictured above, that helps administrators review all scheduled content in a single place.
    Read more →
  "
2;"Roger Oberg";"Introducing RStudio Server Pro 1.2 - New Features, Packaging, and Pricing";"
    
    
    
    
    
      
        
          
      
    
    We are excited to announce the general availability of RStudio Server Pro 1.2, and to introduce RStudio Server Pro Standard and RStudio Server Pro Enterprise.
RStudio customers have made it clear to us that the future of data analysis is moving to a more elastic and flexible computational model. RStudio Server Pro now allows you to execute R processes remotely, and introduces new packaging and pricing to reflect this new trend.
    Read more →
  "
2;"Roger Oberg";"Introducing RStudio Team";"
    
    
    
    
    
      
        
          
      
    
    RStudio is excited to announce RStudio Team, a new software bundle that makes it easier and more economical to adopt our commercially licensed and supported professional offerings.
RStudio Team includes RStudio Server Pro, RStudio Connect, and RStudio Package Manager. With RStudio Team, your data science team will be properly equipped to analyze data at scale using R and Python; manage R packages; and create and share plots, Shiny apps, R Markdown documents, REST APIs (with plumber), and even Jupyter Notebooks, with your entire organization.
    Read more →
  "
2;"Jonathan McPherson";"RStudio 1.2 Released";"
    
    
    
    
        
          
    
    
    We're excited to announce the official release of RStudio 1.2!
What’s new in RStudio 1.2? Over a year in the making, this new release of RStudio includes dozens of new productivity enhancements and capabilities. You’ll now find RStudio a more comfortable workbench for working in SQL, Stan, Python, and D3. Testing your R code is easier, too, with integrations for shinytest and testthat. Create, and test, and publish APIs in R with Plumber.
    Read more →
  "
2;"Joe Cheng";"Shiny v1.3.2";"
    
    
    
    
    
      
        
          
      
    
    We’re excited to announce the release of Shiny v1.3.2. This release has two main features: a new reactivity debugging tool we call reactlog, and much faster serving of static file assets.
Introducing reactlog: Visually debug your reactivity issues Debugging faulty reactive logic can be challenging, as we’ve written and talked about in the past. In particular, some of the most difficult Shiny app bugs to track down are when reactive expressions and observers re-execute either too often (i.
    Read more →
  "
2;"Sean Lopp";"RStudio Package Manager 1.0.8 - System Requirements";"
    
    
    
    
    
      
        
          
      
    
    Installing R packages on Linux systems has always been a risky affair. In RStudio Package Manager 1.0.8, we’re giving administrators and R users the information they need to make installing packages easier. We’ve also made it easier to use Package Manager offline and improved search performance.
New to RStudio Package Manager? Download the 45-day evaluation today to see how RStudio Package Manager can help you, your team, and your entire organization access and organize R packages.
    Read more →
  "
2;"Mine Çetinkaya-Rundel";"Winners of the 1st Shiny Contest";"
    
    
    
    
    
      
        
          
      
    
    Back in January we announced the first Shiny contest. The time has come to share the results with you!
First and foremost, we were overwhelmed (in the best way possible!) by the 136 submissions! Reviewing all these submissions was incredibly inspiring and humbling. We really appreciate the time and effort each contestsant put into building these apps, as well as submitting them as a fully reproducible artifacts via RStudio Cloud.
    Read more →
  "
2;"Greg Wilson";"Summer Interns 2019";"
    
    
    
    
    
      
    
    We received almost 400 applications for our 2019 internship program from students with very diverse backgrounds. After interviewing several dozen people and making some very difficult decisions, we are pleased to announce that these twelve interns have accepted positions with us for this summer:
 Therese Anders: Calibrated Peer Review. Prototype tools to conduct experiments to see whether calibrated peer review is a useful and feasible feedback strategy in introductory data science classes and industry workshops.
    Read more →
  "
3;"Kelly O'Briant";"RStudio Connect 1.7.2";"
    
    
    
    
    
      
        
          
      
    
    RStudio Connect 1.7.2 is ready to download, and this release contains some long-awaited functionality that we are excited to share. Several authentication and user-management tooling improvements have been added, including the ability to change authentication providers on an existing server, new group support options, and the official introduction of SAML as a supported authentication provider (currently a beta feature*). But that’s not all… keep reading to learn about great additions to the RStudio Connect UI, updates to Python support, and a brand new Admin dashboard view for tracking scheduled content.
    Read more →
  "
3;"Javier Luraschi";"sparklyr 1.0: Apache Arrow, XGBoost, Broom and TFRecords";"
    
    
    
    
    
      
        
          
      
    
    With much excitement built over the past three years, we are thrilled to share that sparklyr 1.0 is now available on CRAN!
The sparklyr package provides an R interface to Apache Spark. It supports dplyr, MLlib, streaming, extensions and many other features; however, this particular release enables the following new features:
 Arrow enables faster and larger data transfers between Spark and R. XGBoost enables training gradient boosting models over distributed datasets.
    Read more →
  "
3;"Jonathan McPherson";"RStudio 1.2 Preview: Jobs";"
    
    
    
    
        
          
    
    
    When you run an R script in RStudio today, the R console waits for it to complete, and you can’t do much with RStudio until the script is finished running. When your R scripts take a long time to run, it can be difficult to get much done in RStudio while they do, unless you’re willing to juggle multiple instances of RStudio.
In RStudio 1.2, we’re introducing two new features to keep you productive while your code’s working: local jobs and remote jobs.
    Read more →
  "
